,checkpoint_config,run_name,run_time,run_results,success,validation_result_identifier,catalog,schema,table_name,validation_results,batch_id,column,type_,evaluated_expectations,success_percent,successful_expectations,unsuccessful_expectations,expectation_type,expectation_success,exception_info
0,"Row(action_list=[Row(action=Row(class_name='StoreValidationResultAction'), name='store_validation_result'), Row(action=Row(class_name='StoreEvaluationParametersAction'), name='store_evaluation_params'), Row(action=Row(class_name='UpdateDataDocsAction'), name='update_data_docs')], class_name='SimpleCheckpoint', config_version=1.0, default_validation_id=None, expectation_suite_ge_cloud_id=None, expectation_suite_name=None, ge_cloud_id=None, module_name='great_expectations.checkpoint', name='test_catalog-test_schema-test_table-checkpoint', notify_on=None, notify_with=None, profilers=[], run_name_template='%Y%m%d-%H%M%S-test_catalog-test_schema-test_table-checkpoint', site_names=None, slack_webhook=None, template_name=None, validations=[])",20240718-121324-test_catalog-test_schema-test_table-checkpoint,2024-07-18T12:13:24.496963+00:00,"Row(actions_results=Row(store_evaluation_params=Row(class='StoreEvaluationParametersAction'), store_validation_result=Row(class='StoreValidationResultAction'), update_data_docs=Row(class='UpdateDataDocsAction', local_site='file:///opt/deus_dev_env/localbricks/gx/context/data_docs/site/validations/test_catalog-test_schema-test_table/20240718-121324-test_catalog-test_schema-test_table-checkpoint/20240718T121324.496963Z/03a5443ba3d9193f7bddf752c24f8ab9.html')), validation_result=Row(meta=Row(active_batch_definition=Row(batch_identifiers=Row(catalog='test_catalog', schema='test_schema', table='test_table', timestamp='2024-07-18 13:13:24'), data_asset_name='test_industry-test_catalog-test_schema-test_table', data_connector_name='test_industry-test_catalog-test_schema-test_table-data_connector', datasource_name='test_industry-test_catalog-test_schema-test_table-datasource'), batch_markers=Row(ge_load_time='20240718T121324.499107Z'), batch_spec=Row(batch_data='SparkDataFrame', data_asset_name='test_industry-test_catalog-test_schema-test_table'), checkpoint_id=None, checkpoint_name='test_catalog-test_schema-test_table-checkpoint', expectation_suite_name='test_catalog-test_schema-test_table', great_expectations_version='0.18.8', run_id=Row(run_name='20240718-121324-test_catalog-test_schema-test_table-checkpoint', run_time='2024-07-18T12:13:24.496963+00:00'), validation_id=None, validation_time='20240718T121324.500369Z'), results=[Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='aircraftOwner', type_='StringType')), result=Row(observed_value='StringType'), success=True), Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='status', type_='StringType')), result=Row(observed_value='StringType'), success=True)], statistics=Row(evaluated_expectations=2, success_percent=100.0, successful_expectations=2, unsuccessful_expectations=0), success=True))",True,ValidationResultIdentifier::test_catalog-test_schema-test_table/20240718-121324-test_catalog-test_schema-test_table-checkpoint/20240718T121324.496963Z/03a5443ba3d9193f7bddf752c24f8ab9,test_catalog,test_schema,test_table,"Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='aircraftOwner', type_='StringType')), result=Row(observed_value='StringType'), success=True)",03a5443ba3d9193f7bddf752c24f8ab9,aircraftOwner,StringType,2,100.0,2,0,expect_column_values_to_be_of_type,True,"Row(exception_message=None, exception_traceback=None, raised_exception=False)"
1,"Row(action_list=[Row(action=Row(class_name='StoreValidationResultAction'), name='store_validation_result'), Row(action=Row(class_name='StoreEvaluationParametersAction'), name='store_evaluation_params'), Row(action=Row(class_name='UpdateDataDocsAction'), name='update_data_docs')], class_name='SimpleCheckpoint', config_version=1.0, default_validation_id=None, expectation_suite_ge_cloud_id=None, expectation_suite_name=None, ge_cloud_id=None, module_name='great_expectations.checkpoint', name='test_catalog-test_schema-test_table-checkpoint', notify_on=None, notify_with=None, profilers=[], run_name_template='%Y%m%d-%H%M%S-test_catalog-test_schema-test_table-checkpoint', site_names=None, slack_webhook=None, template_name=None, validations=[])",20240718-121324-test_catalog-test_schema-test_table-checkpoint,2024-07-18T12:13:24.496963+00:00,"Row(actions_results=Row(store_evaluation_params=Row(class='StoreEvaluationParametersAction'), store_validation_result=Row(class='StoreValidationResultAction'), update_data_docs=Row(class='UpdateDataDocsAction', local_site='file:///opt/deus_dev_env/localbricks/gx/context/data_docs/site/validations/test_catalog-test_schema-test_table/20240718-121324-test_catalog-test_schema-test_table-checkpoint/20240718T121324.496963Z/03a5443ba3d9193f7bddf752c24f8ab9.html')), validation_result=Row(meta=Row(active_batch_definition=Row(batch_identifiers=Row(catalog='test_catalog', schema='test_schema', table='test_table', timestamp='2024-07-18 13:13:24'), data_asset_name='test_industry-test_catalog-test_schema-test_table', data_connector_name='test_industry-test_catalog-test_schema-test_table-data_connector', datasource_name='test_industry-test_catalog-test_schema-test_table-datasource'), batch_markers=Row(ge_load_time='20240718T121324.499107Z'), batch_spec=Row(batch_data='SparkDataFrame', data_asset_name='test_industry-test_catalog-test_schema-test_table'), checkpoint_id=None, checkpoint_name='test_catalog-test_schema-test_table-checkpoint', expectation_suite_name='test_catalog-test_schema-test_table', great_expectations_version='0.18.8', run_id=Row(run_name='20240718-121324-test_catalog-test_schema-test_table-checkpoint', run_time='2024-07-18T12:13:24.496963+00:00'), validation_id=None, validation_time='20240718T121324.500369Z'), results=[Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='aircraftOwner', type_='StringType')), result=Row(observed_value='StringType'), success=True), Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='status', type_='StringType')), result=Row(observed_value='StringType'), success=True)], statistics=Row(evaluated_expectations=2, success_percent=100.0, successful_expectations=2, unsuccessful_expectations=0), success=True))",True,ValidationResultIdentifier::test_catalog-test_schema-test_table/20240718-121324-test_catalog-test_schema-test_table-checkpoint/20240718T121324.496963Z/03a5443ba3d9193f7bddf752c24f8ab9,test_catalog,test_schema,test_table,"Row(exception_info=Row(exception_message=None, exception_traceback=None, raised_exception=False), expectation_config=Row(expectation_type='expect_column_values_to_be_of_type', kwargs=Row(batch_id='03a5443ba3d9193f7bddf752c24f8ab9', column='status', type_='StringType')), result=Row(observed_value='StringType'), success=True)",03a5443ba3d9193f7bddf752c24f8ab9,status,StringType,2,100.0,2,0,expect_column_values_to_be_of_type,True,"Row(exception_message=None, exception_traceback=None, raised_exception=False)"
